Player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
Aaron Finch,709.0,417.0,62.0,40.0,170.02,39.39,18.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Abdul Samad,,,,,,,,,,,,,,,,
Akash Singh,,,,,,,,,,,,,,,,
Alex Carey,121.0,95.0,10.0,4.0,127.37,15.12,8.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Andrew Tye,45.0,34.0,1.0,3.0,132.35,11.25,4.0,433.0,588.0,31.0,8.58,18.97,13.97,68.5,20.0,2.0
Anirudha Ashok Joshi,,,,,,,,,,,,,,,,
Anuj Rawat,,,,,,,,,,,,,,,,
Chris Green,,,,,,,,,,,,,,,,
Chris Jordan,70.0,43.0,4.0,5.0,162.79,17.5,4.0,351.0,462.0,23.0,8.18,20.09,15.26,56.5,9.0,3.0
Chris Lynn,213.0,160.0,24.0,9.0,133.12,19.36,11.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Chris Woakes,,,,,,,,,,,,,,,,
Christopher Morris,60.0,36.0,6.0,3.0,166.67,15.0,4.0,202.0,292.0,14.0,9.12,20.86,14.43,32.0,9.0,1.0
Dale Steyn,0.0,0.0,0.0,0.0,,0.0,0.0,18.0,34.0,2.0,11.33,,9.0,3.0,0.0,0.0
David Miller,236.0,178.0,17.0,10.0,132.58,26.22,9.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Deepak Hooda,,,,,,,,,,,,,,,,
Digvijay Deshmukh,,,,,,,,,,,,,,,,
Eoin Morgan,409.0,256.0,32.0,25.0,159.77,37.18,11.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Fabian Allen,64.0,56.0,5.0,3.0,114.29,9.14,7.0,190.0,214.0,9.0,6.9,23.78,21.11,31.0,4.0,0.0
Glenn Maxwell,718.0,453.0,54.0,37.0,158.5,47.87,15.0,104.0,129.0,9.0,7.59,14.33,11.56,17.0,2.0,0.0
Isuru Udana,187.0,120.0,11.0,12.0,155.83,31.17,6.0,236.0,312.0,12.0,8.51,26.0,19.67,36.67,16.0,0.0
James Neesham,62.0,37.0,4.0,5.0,167.57,31.0,2.0,18.0,39.0,0.0,13.0,,,3.0,0.0,0.0
Jason Roy,271.0,160.0,28.0,16.0,169.38,30.11,9.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Jaydev Unadkat,0.0,0.0,0.0,0.0,,0.0,0.0,197.0,258.0,14.0,8.41,18.43,14.07,30.67,13.0,0.0
Josh Hazlewood,,,,,,,,,,,,,,,,
Joshua Philippe,,,,,,,,,,,,,,,,
Kane Richardson,0.0,1.0,0.0,0.0,0.0,0.0,1.0,268.0,349.0,14.0,8.12,24.93,19.14,43.0,9.0,1.0
Kartik Tyagi,,,,,,,,,,,,,,,,
Lalit Yadav,,,,,,,,,,,,,,,,
M Siddharth,,,,,,,,,,,,,,,,
Marcus Stoinis,122.0,104.0,12.0,2.0,117.31,15.25,8.0,215.0,287.0,8.0,8.61,35.88,26.88,33.33,13.0,2.0
Mitchell Marsh,42.0,47.0,1.0,1.0,89.36,21.0,2.0,12.0,11.0,2.0,5.5,,6.0,2.0,0.0,0.0
Mohit Sharma,,,,,,,,,,,,,,,,
Mohsin Khan,,,,,,,,,,,,,,,,
Nathan Coulter-Nile,80.0,66.0,8.0,3.0,121.21,20.0,4.0,161.0,230.0,11.0,8.85,20.91,14.64,26.0,5.0,0.0
Nikhil Shankar Naik,,,,,,,,,,,,,,,,
Oshane Thomas,8.0,11.0,2.0,0.0,72.73,4.0,2.0,237.0,335.0,9.0,9.05,37.22,26.33,37.0,8.0,7.0
Pat Cummins,7.0,3.0,1.0,0.0,233.33,7.0,0.0,142.0,157.0,9.0,6.83,17.44,15.78,23.0,4.0,0.0
Pavan Deshpande,,,,,,,,,,,,,,,,
Piyush Chawla,,,,,,,,,,,,,,,,
Prabhsimran Singh,,,,,,,,,,,,,,,,
Pravin Tambe,,,,,,,,,,,,,,,,
Prince Balwant Rai Singh,,,,,,,,,,,,,,,,
Priyam Garg,,,,,,,,,,,,,,,,
R. Sai Kishore,,,,,,,,,,,,,,,,
Rahul Tripathi,,,,,,,,,,,,,,,,
Ravi Bishnoi,,,,,,,,,,,,,,,,
Robin Uthappa,,,,,,,,,,,,,,,,
Sam Curran,11.0,12.0,1.0,0.0,91.67,5.5,2.0,102.0,120.0,5.0,7.5,24.0,20.4,16.0,6.0,0.0
Sandeep Bavanaka,,,,,,,,,,,,,,,,
Sanjay Yadav,,,,,,,,,,,,,,,,
Saurabh Tiwary,,,,,,,,,,,,,,,,
Shahbaz Ahamad,,,,,,,,,,,,,,,,
Sheldon Cottrell,15.0,21.0,2.0,0.0,71.43,7.5,2.0,347.0,426.0,21.0,7.91,20.29,16.52,53.83,22.0,2.0
Shimron Hetmyer,279.0,222.0,19.0,17.0,125.68,16.41,17.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Tajinder Dhillon,,,,,,,,,,,,,,,,
Tom Banton,49.0,30.0,6.0,2.0,163.33,24.5,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Tom Curran,22.0,14.0,0.0,2.0,157.14,22.0,1.0,209.0,287.0,9.0,8.44,31.89,23.22,34.0,5.0,0.0
Tushar Deshpande,,,,,,,,,,,,,,,,
Varun Chakaravarthy,,,,,,,,,,,,,,,,
Virat Singh,,,,,,,,,,,,,,,,
Yashasvi Jaiswal,,,,,,,,,,,,,,,,
