,0,1,2,3,4,5,6,7
0,3946.0,948.0,196.0,31.0,189.0,0.0,32.0,658.0
1,3849.0,1018.0,203.0,74.0,306.0,0.0,50.0,500.0
2,3552.0,1209.0,222.0,176.0,352.0,0.0,99.0,390.0
3,3281.0,1375.0,219.0,273.0,398.0,0.0,110.0,344.0
4,3194.0,1587.0,250.0,132.0,394.0,0.0,118.0,325.0
5,2948.0,1808.0,263.0,45.0,434.0,0.0,109.0,365.0
6,2748.0,2023.0,268.0,18.0,323.0,0.0,100.0,351.0
7,2350.0,2211.0,306.0,13.0,275.0,0.0,114.0,328.0
8,2171.0,2174.0,361.0,16.0,299.0,0.0,111.0,234.0
9,1956.0,2217.0,361.0,18.0,315.0,0.0,166.0,199.0
10,1836.0,2225.0,364.0,44.0,338.0,0.0,186.0,146.0
11,1654.0,2324.0,365.0,36.0,310.0,0.0,215.0,164.0
12,1453.0,2381.0,382.0,25.0,332.0,0.0,226.0,170.0
13,1313.0,2386.0,375.0,10.0,337.0,0.0,268.0,211.0
14,1265.0,2354.0,400.0,5.0,381.0,0.0,286.0,172.0
15,1051.0,2382.0,463.0,10.0,406.0,0.0,370.0,120.0
16,962.0,2249.0,474.0,3.0,476.0,0.0,441.0,142.0
17,891.0,1904.0,582.0,1.0,650.0,0.0,497.0,156.0
18,770.0,1642.0,660.0,6.0,807.0,0.0,430.0,235.0
19,698.0,1523.0,590.0,6.0,956.0,0.0,383.0,256.0
