Team,points_2008,points_2009,points_2010,points_2011,points_2012,points_2013,points_2014,points_2015,points_2016,points_2017,points_2018,points_2019,points_2020,points_2021,points_2022,points_2023
Kochi Tuskers Kerala,99,99,99,12,99,99,99,99,99,99,99,99,99,99,99,99
Gujarat Titans,99,99,99,99,99,99,99,99,18,8,99,99,99,99,20,20
Lucknow Super Giants,99,99,99,9,8,8,99,99,10,18,99,99,99,99,18,17
Chennai Super Kings,16,17,14,18,17,22,18,18,99,99,18,18,12,18,8,17
Mumbai Indians,14,11,20,18,20,22,14,16,14,20,12,18,18,14,8,16
Rajasthan Royals,22,13,12,13,14,20,14,16,99,99,14,11,12,10,18,14
Royal Challengers Bangalore,8,16,14,19,17,18,10,16,16,7,12,11,14,18,16,14
Kings XI Punjab,20,14,8,14,16,16,22,6,8,14,12,12,12,12,14,12
Kolkata Night Riders,13,7,14,16,21,12,18,15,16,16,16,12,14,14,12,12
Delhi Capitals,15,20,14,9,22,6,4,11,14,12,10,18,16,20,14,10
Sunrisers Hyderabad,4,14,16,12,9,20,12,14,16,17,18,12,14,6,12,8
