Team,2008 Actual Rank,2009 Actual Rank,2010 Actual Rank,2011 Actual Rank,2012 Actual Rank,2013 Actual Rank,2014 Actual Rank,2015 Actual Rank,2016 Actual Rank,2017 Actual Rank,2018 Actual Rank,2019 Actual Rank,2020 Actual Rank,2021 Actual Rank,2022 Actual Rank,2023 Actual Rank
Kolkata Night Riders,6,8,6,4,2,7,2,5,4,4,3,5,5,4,7,7
Mumbai Indians,5,7,1,3,3,2,4,2,5,1,5,1,1,5,10,4
Kings XI Punjab,2,5,8,5,6,6,1,8,8,5,7,6,6,6,6,8
Sunrisers Hyderbad,8,4,2,7,8,4,6,6,3,3,1,4,3,8,8,10
Rajasthan Royals,1,6,7,6,7,3,5,4,99,99,4,7,8,7,2,5
Delhi Capitals,4,1,5,10,1,9,8,7,6,6,8,3,2,1,5,9
Royal Challengers Bangalore,7,3,4,1,5,5,7,3,2,8,6,8,4,3,5,6
Chennai Super Kings,3,2,3,2,4,1,3,1,99,99,2,2,7,2,9,2
Gujarat Titans,99,99,99,99,99,99,99,99,1,7,99,99,99,99,1,1
Lucknow Super Giants,99,99,99,9,9,8,99,99,7,2,99,99,99,99,3,3
Kochi Tuskers Kerala,99,99,99,8,99,99,99,99,99,99,99,99,99,99,99,99
